badge_id,name,icon,image_locked,image_earned,description,share_text
first_clear,はじめの一歩,🌟,badge_locked.png,06.png,初めてレッスンをクリア！,"はじめての
レッスンクリア！"
lesson_5,長文5レッスンクリア,📚,badge_locked.png,01.png,長文を累計5レッスンクリア！,"長文
累計5レッスン
クリア！"
lesson_10,長文10レッスンクリア,📚,badge_locked.png,05.png,長文を累計10レッスンクリア！,"長文
累計10レッスン
クリア！"
lesson_50,長文50レッスンクリア,📚,badge_locked.png,03.png,長文を累計50レッスンクリア！,"長文
累計50レッスン
クリア！"
lesson_100,長文100レッスンクリア,📚,badge_locked.png,01.png,長文を累計100レッスンクリア！,"長文
累計100レッスン
クリア！"
lesson_200,長文200レッスンクリア,📚,badge_locked.png,02.png,長文を累計200レッスンクリア！,"長文
累計200レッスン
クリア！"
lesson_250,長文250レッスンクリア,📚,badge_locked.png,05.png,長文を累計250レッスンクリア！,"長文
累計250レッスン
クリア！"
lesson_300,長文300レッスンクリア,📚,badge_locked.png,05.png,長文を累計300レッスンクリア！,"長文
累計300レッスン
クリア！"
streak_3,3日連続,🔥,badge_locked.png,06.png,3日連続で学習！,"3日連続で
学習したよ！"
streak_7,7日連続,🔥,badge_locked.png,01.png,7日連続で学習！,"7日連続で
学習したよ！"
streak_10,10日連続,🔥,badge_locked.png,05.png,10日連続で学習！,"10日連続で
学習したよ！"
streak_30,30日連続,🔥,badge_locked.png,03.png,30日連続で学習！,"30日連続で
学習したよ！"
streak_50,50日連続,🔥,badge_locked.png,04.png,50日連続で学習！,"50日連続で
学習したよ！"
streak_100,100日連続,🔥,badge_locked.png,02.png,100日連続で学習！,"100日連続で
学習したよ！"
streak_200,200日連続,🔥,badge_locked.png,03.png,200日連続で学習！,"200日連続で
学習したよ！"
streak_365,365日連続,🔥,badge_locked.png,05.png,365日連続で学習！,"365日連続で
学習したよ！"
round_5,英単語5レッスンクリア,🎯,badge_locked.png,03.png,英単語を累計5レッスンクリア！,"英単語
累計5レッスン
クリア！"
round_10,英単語10レッスンクリア,🎯,badge_locked.png,01.png,英単語を累計10レッスンクリア！,"英単語
累計10レッスン
クリア！"
round_20,英単語20レッスンクリア,🎯,badge_locked.png,02.png,英単語を累計20レッスンクリア！,"英単語
累計20レッスン
クリア！"
round_30,英単語30レッスンクリア,🎯,badge_locked.png,04.png,英単語を累計30レッスンクリア！,"英単語
累計30レッスン
クリア！"
round_50,英単語50レッスンクリア,🎯,badge_locked.png,06.png,英単語を50レッスンクリア！,"英単語
累計50レッスン
クリア！"
round_100,英単語100レッスンクリア,🎯,badge_locked.png,02.png,英単語を累計100レッスンクリア！,"英単語
累計100レッスン
クリア！"
round_200,英単語200レッスンクリア,🎯,badge_locked.png,03.png,英単語を累計200レッスンクリア！,"英単語
累計200レッスン
クリア！"
round_500,英単語500レッスンクリア,🎯,badge_locked.png,04.png,英単語を累計500レッスンクリア！,"英単語
累計500レッスン
クリア！"
