question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e2401,va1201,survey,Could you fill out this survey about school lunch?,Sure! Can I ask for more curry days?,給食についてのこのアンケートに答えてくれる？,はい！カレーの日を増やしてって書いてもいいですか？,Ruth,Ivy,1,survey,Ruth,Ivy,___________,Sure! Can I ask for more curry days?,Could you fill out this survey about school lunch?,Could|you|fill|out|this|survey|about|school|lunch?,e2401-a.mp3,e2401-b.mp3,1,Ruth.png,Ivy.png,left,right
e2402,va1201,survey,"According to our survey, most students sleep less than seven hours.",,私たちの調査によると、ほとんどの生徒の睡眠時間は7時間未満です。,,Ivy,,1,"survey,",Ivy,,___________,,"According to our survey, most students sleep less than seven hours.","According|to|our|survey,|most|students|sleep|less|than|seven|hours.",e2402-a.mp3,,1,Ivy,,right,none
e2403,va1202,planetarium,Where did you go on Sunday?,The planetarium! The stars on the ceiling were beautiful.,日曜どこ行ったの？,プラネタリウム！天井の星がきれいだったよ。,Kevin,Ivy,2,planetarium!,Kevin,Ivy,Where did you go on Sunday?,___________,The planetarium! The stars on the ceiling were beautiful.,The|planetarium!|The|stars|on|the|ceiling|were|beautiful.,e2403-a.mp3,e2403-b.mp3,1,Kevin.png,Ivy.png,left,right
e2404,va1202,planetarium,Let's go to the planetarium when it rains.,Good idea. It's perfect for a rainy day.,雨が降ったらプラネタリウムに行こうよ。,いいね。雨の日にぴったりだ。,Ivy,Matthew,1,planetarium,Ivy,Matthew,___________,Good idea. It's perfect for a rainy day.,Let's go to the planetarium when it rains.,Let's|go|to|the|planetarium|when|it|rains.,e2404-a.mp3,e2404-b.mp3,1,Ivy,Matthew.png,right,left
e2405,va1203,imitation,Watch this. Who am I?,Ha! That's a great imitation of our coach!,見てて。これ誰だ？,あはは！コーチのモノマネ、そっくり！,Kevin,Ivy,2,imitation,Kevin,Ivy,Watch this. Who am I?,___________,Ha! That's a great imitation of our coach!,Ha!|That's|a|great|imitation|of|our|coach!,e2405-a.mp3,e2405-b.mp3,1,Kevin.png,Ivy.png,left,right
e2406,va1203,imitation,Is this bag made of real leather?,"No, it's imitation leather, but it's very strong.",このバッグって本革ですか？,いいえ、合成皮革ですが、とても丈夫ですよ。,Ivy,Ruth,2,imitation,Ivy,Ruth,Is this bag made of real leather?,___________,"No, it's imitation leather, but it's very strong.","No,|it's|imitation|leather,|but|it's|very|strong.",e2406-a.mp3,e2406-b.mp3,1,Ivy,Ruth.png,right,left
e2407,va1204,prevent,Wash your hands. It helps prevent colds.,"I know, Dad. I just did!",手を洗いなさい。風邪の予防になるよ。,わかってるよ、パパ。今洗ったところ！,Matthew,Ivy,1,prevent,Matthew,Ivy,___________,"I know, Dad. I just did!",Wash your hands. It helps prevent colds.,Wash|your|hands.|It|helps|prevent|colds.,e2407-a.mp3,e2407-b.mp3,1,Matthew.png,Ivy.png,left,right
e2408,va1204,prevent,We should plant more trees to prevent floods.,,洪水を防ぐために、もっと木を植えるべきだと思います。,,Ivy,,1,prevent,Ivy,,___________,,We should plant more trees to prevent floods.,We|should|plant|more|trees|to|prevent|floods.,e2408-a.mp3,,1,Ivy,,right,none
e2409,va1205,declare,America declared its independence in 1776.,,アメリカは1776年に独立を宣言しました。,,Ruth,,1,declared,Ruth,,___________,,America declared its independence in 1776.,America|declared|its|independence|in|1776.,e2409-a.mp3,,1,Ruth.png,,left,none
e2410,va1205,declare,I declare this the best burger in town!,You say that about every burger.,このハンバーガーを町一番と宣言する！,どのハンバーガーにもそう言ってるじゃん。,Kevin,Ivy,1,declare,Kevin,Ivy,___________,You say that about every burger.,I declare this the best burger in town!,I|declare|this|the|best|burger|in|town!,e2410-a.mp3,e2410-b.mp3,1,Kevin.png,Ivy.png,left,right
e2411,va1206,ideal,What's your ideal weekend?,Sleeping late and reading comics all day.,理想の週末って？,朝寝坊して、一日中マンガ読むこと。,Kevin,Ivy,1,ideal,Kevin,Ivy,___________,Sleeping late and reading comics all day.,What's your ideal weekend?,What's|your|ideal|weekend?,e2411-a.mp3,e2411-b.mp3,1,Kevin.png,Ivy.png,left,right
