arrange_word_id,arrange_word,stage_id
va1201,survey,ast13
va1202,planetarium,ast13
va1203,imitation,ast13
va1204,prevent,ast13
va1205,declare,ast13
va1206,ideal,ast13
va1207,belonging,ast13
va1208,artificial,ast13
va1209,compete,ast13
va1210,offend,ast13
va1211,deceive,ast13
va1212,facial,ast13
va1213,monitor,ast13
va1214,arrangement,ast13
va1215,auditorium,ast13
va1216,orbit,ast13
va1217,consist,ast13
va1218,league,ast13
va1219,violence,ast13
va1220,mass,ast13
va1221,geography,ast13
va1222,respectful,ast13
va1223,citizenship,ast13
va1224,tense,ast13
va1225,leading,ast13
va1226,harm,ast13
va1227,exchange,ast13
va1228,fortunately,ast13
va1229,economy,ast13
va1230,major,ast13
va1231,task,ast13
va1232,embarrassment,ast13
va1233,correction,ast13
va1234,frightening,ast13
va1235,enormous,ast13
va1236,mild,ast13
va1237,reminder,ast13
va1238,uncover,ast13
va1239,twist,ast13
va1240,fabric,ast13
va1241,embrace,ast13
va1242,wealthy,ast13
va1243,approve,ast13
va1244,craft,ast13
va1245,occasion,ast13
va1246,conflict,ast13
va1247,extremely,ast13
va1248,flow chart,ast13
va1249,inspiration,ast13
va1250,cooperation,ast13
va1251,agency,ast13
va1252,thread,ast13
va1253,recently,ast13
va1254,unnecessary,ast13
va1255,faint,ast13
va1256,neatly,ast13
va1257,spirit,ast13
va1258,stir,ast13
va1259,disorder,ast13
va1260,seedless,ast13
va1261,benefit,ast13
va1262,approach,ast13
va1263,equipment,ast13
va1264,threaten,ast13
va1265,division,ast13
va1266,bridegroom,ast13
va1267,ancestor,ast13
va1268,aged,ast13
va1269,translation,ast13
va1270,precious,ast13
va1271,aspect,ast13
va1272,wildlife,ast13
va1273,refund,ast13
va1274,volcano,ast13
va1275,frustration,ast13
va1276,passenger,ast13
va1277,digest,ast13
va1278,fossil,ast13
va1279,relative,ast13
va1280,labor,ast13
va1281,shade,ast13
va1282,infect,ast13
va1283,raw,ast13
va1284,particular,ast13
va1285,drainpipe,ast13
va1286,graduate,ast13
va1287,authority,ast13
va1288,rely,ast13
va1289,courage,ast13
va1290,adapt,ast13
va1291,evidence,ast13
va1292,tension,ast13
va1293,architect,ast13
va1294,trail,ast13
va1295,overcome,ast13
va1296,roughly,ast13
va1297,cope,ast13
va1298,content,ast13
va1299,suspect,ast13
va1300,inexperienced,ast13
